Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Reliability Document,Parts,326,0,(Role VIEWER I) GetFile Reliability Document,(Role VIEWER I) GetFile Reliability Document,,(Role DOC CREATOR RELIABILITY) PrintTab Reliability Doc,Type B Role - Exclude Competitor (SAMSUNG RMSD)
,,,,(Role VIEWER G) GetFile Reliability Document,(Role VIEWER G) GetFile Reliability Document,,(Role VIEWER K 3D1) GetFile Reliability Document,Type O Role
,,,,(Role VIEWER J 3B) GetFile Reliability Document,(Role VIEWER J 3B) GetFile Reliability Document,,(Role DOC CREATOR RELIABILITY) PrintFile Reliability Doc,Type B Role - Exclude Competitor (NEC)
,,,,Upgrade Supplier Access - Reliability Document Class,Upgrade Supplier Access - Reliability Document Class,,Create-Reliability Document,Type B Role - Exclude Competitor (TEAC)
,,,,(Role VIEWER H) GetFile Reliability Document,(Role VIEWER H) GetFile Reliability Document,,(Role DOC CREATOR RELIABILITY) ViewFile Reliability Doc,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER K 3D1) GetFile Reliability Document,(Role VIEWER K 3D1) GetFile Reliability Document,,Checkin-Reliability Document,Role VIEWER E
,,,,(Role VIEWER C) GetFile Reliability Document,(Role VIEWER C) GetFile Reliability Document,,(Role VIEWER E) GetFile Reliability Document,Create All Items (Subclass Level)
,,,,(Role VIEWER F) GetFile Reliability Document,(Role VIEWER F) GetFile Reliability Document,,Checkout-Reliability Document,Type B Role - Exclude Competitor (SANMINA SCI)
,,,,(Role VIEWER D) GetFile Reliability Document,(Role VIEWER D) GetFile Reliability Document,,Upgrade Supplier Access - Discover Reliability Document Class,Role DELL LEGAL
,,,,All Parts-Reliability Document (Subclass Access),All Parts-Reliability Document (Subclass Access),,(Role VIEWER B) GetFile Reliability Document,Type B Role - Exclude Competitor (XYRATEX)
,,,,(Role VIEWER B) GetFile Reliability Document,(Role VIEWER B) GetFile Reliability Document,,(Role VIEWER I) GetFile Reliability Document,Type B Role - Exclude Competitor Template (INTEL)
,,,,(Role VIEWER E) GetFile Reliability Document,(Role VIEWER E) GetFile Reliability Document,,(Role VIEWER F) GetFile Reliability Document,Type S Role
,,,,For Reliability Document Only,For Reliability Document Only,,(Role VIEWER C) GetFile Reliability Document,Role VIEWER I
,,,,,,,Modify Attachments-Reliability Document,Openmanage Viewer
,,,,,,,(Role VIEWER J 3B) GetFile Reliability Document,Type B Role - Exclude Competitor Template (AMD)
,,,,,,,(Role VIEWER G) GetFile Reliability Document,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,Upgrade Supplier Access - Read Reliability Document Class,Type G Role
,,,,,,,(Role VIEWER H) GetFile Reliability Document,Role MOD PARTS P1 & P2 PROJ PLNR NON PRODUCTION
,,,,,,,(Role DOC CREATOR RELIABILITY) Create Reliability Doc,Role Check In Check Out
,,,,,,,(Role DOC CREATOR RELIABILITY) Discover Reliability Doc,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,(Role DOC CREATOR RELIABILITY) Read Reliability Doc,Role CREATOR
,,,,,,,Upgrade Supplier Access - Modify Reliability Document,Role VIEWER F
,,,,,,,(Role DOC CREATOR RELIABILITY) Send Reliability Doc,Type B Role - Exclude Competitor (EATON CORPORATION)
,,,,,,,(Role DOC CREATOR RELIABILITY) SaveAs Reliability Doc,Role VIEWER J 3B
,,,,,,,(Role DOC CREATOR RELIABILITY) GetFile Reliability Doc,Type B Role - Exclude Competitor (DELTA ELECTRONICS)
,,,,,,,(Role VIEWER D) GetFile Reliability Document,Type B Role - Exclude Competitor (QUANTA/SERVERS)
,,,,,,,(Role DOC CREATOR RELIABILITY) Mod Reliability Doc,Role DOC CREATOR RELIABILITY
,,,,,,,,Type B Role - Exclude Competitor (GIGA BYTE TECHNOLOGY)
,,,,,,,,Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Type B Role - Exclude Competitor (LITEON)
,,,,,,,,Type B Role - Exclude Competitor (LG ELECTRONICS)
,,,,,,,,Type C
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Type B Role
,,,,,,,,Role CREATOR CHANGES-NON PRODUCTION PARTS
,,,,,,,,Role VIEWER D
,,,,,,,,Type A Role
,,,,,,,,Type B Role - Exclude Competitor (NANYA TECHNOLOGY)
Resistor,Parts,6357,0,(Role VIEWER H) GetFile Resistor,(Role VIEWER H) GetFile Resistor,,(Role VIEWER D) GetFile Resistor,Type O Role
,,,,All Parts-Resistor (Subclass Access),All Parts-Resistor (Subclass Access),,(Role VIEWER K 3D1) GetFile Resistor,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER I) GetFile Resistor,(Role VIEWER I) GetFile Resistor,,(Role VIEWER F) GetFile Resistor,Role VIEWER E
,,,,For Resistor Only - Exclude SBOM,For Resistor Only - Exclude SBOM,,Checkin-Resistor,Create All Items (Subclass Level)
,,,,(Role VIEWER E) GetFile Resistor,(Role VIEWER E) GetFile Resistor,,Create-Resistor,Role DELL LEGAL
,,,,For Resistor Only,For Resistor Only,,Modify Attachments-Resistor,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER D) GetFile Resistor,(Role VIEWER D) GetFile Resistor,,Checkout-Resistor,Role VIEWER I
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Resistor,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Resistor,,(Role VIEWER J 3B) GetFile Resistor,Openmanage Viewer
,,,,(Role VIEWER F) GetFile Resistor,(Role VIEWER F) GetFile Resistor,,(Role VIEWER C) GetFile Resistor,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER J 3B) GetFile Resistor,(Role VIEWER J 3B) GetFile Resistor,,(Role VIEWER H) GetFile Resistor,Role Check In Check Out
,,,,(Role VIEWER G) GetFile Resistor,(Role VIEWER G) GetFile Resistor,,(Role READ/DISCOVER P3) Discover P3 Resistor,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER B) GetFile Resistor,(Role VIEWER B) GetFile Resistor,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Resistor,Role VIEWER F
,,,,(Role VIEWER C) GetFile Resistor,(Role VIEWER C) GetFile Resistor,,(Role VIEWER E) GetFile Resistor,Role CREATOR
,,,,(Role VIEWER K 3D1) GetFile Resistor,(Role VIEWER K 3D1) GetFile Resistor,,(Role VIEWER G) GetFile Resistor,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER B) GetFile Resistor,Role MOD PARTS P3 PROJ PLNR
,,,,,,,Upgrade Supplier Access - Modify Resistor,Role VIEWER J 3B
,,,,,,,(Role READ/DISCOVER P3) Read P3 Resistor,Role VIEWER H
,,,,,,,(Role VIEWER I) GetFile Resistor,Role VIEWER C
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Resistor,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
RLAB,Problem Reports,0,0,For PQM PSR WORK RLAB as QA,For PQM PSR WORK RLAB as QA,,(Role WORK RLAB) Discovery,X DO NOT USE Role PQM SUPERUSER
,,,,For PQM PSR WORK RLAB as Approver,For PQM PSR WORK RLAB as Approver,,(Role WORK RLAB) Modify RLAB as SuperUser,Role WORK PSR RLAB Power Group
,,,,For PQM PSR WORK RLAB as Originator,For PQM PSR WORK RLAB as Originator,,(Role WORK RLAB) Create,Role WORK PSR RLAB
,,,,For PQM PSR WORK RLAB as Power User,For PQM PSR WORK RLAB as Power User,,(Role WORK RLAB) CS RLAB as QA - Analyze to WAIT; WAIT to Review,
,,,,For RLAB Only,For RLAB Only,,(Role WORK RLAB) Modify RLAB as Approver,
,,,,,,,(Role WORK RLAB) Modify RLAB as Originator,
,,,,,,,(Role WORK RLAB) CS RLAB as Power User - All,
,,,,,,,(Role WORK RLAB) Modify RLAB as Power User,
,,,,,,,(Role WORK RLAB) Modify RLAB as QA,
,,,,,,,(Role WORK RLAB) Read,
,,,,,,,(Role WORK RLAB) CS RLAB as Approver - Submitted to Analyze,
,,,,,,,(Role WORK RLAB) CS RLAB as Originator - Pending to Submitted or Cancel,
SCAR,Corrective and Preventive Actions,735,0,For SCAR Quality Change Request Only,For SCAR Quality Change Request Only,,(Role QCR PX) Modify Page Two QCR,Type O Role
,,,,For PQM SCAR Modify as Originator SCAR Criteria,For PQM SCAR Modify as Originator SCAR Criteria,,(Role WORK QCR SCAR) Discovery,Role WORK QCR SCAR GENERAL USER
,,,,PQM Upgrade Supplier Access - Modify SCAR I have Created,PQM Upgrade Supplier Access - Modify SCAR I have Created,,PQM Upgrade Supplier Access - Discover SCAR,Type H
,,,,For PQM SCAR CS & Modify SCAR Criteria,For PQM SCAR CS & Modify SCAR Criteria,,(Role WORK SCAR) CS SCAR as SuperUser,Role PAW & SUPPLIER ACCESS PX
,,,,PQM Upgrade Supplier Access - Modify SCAR $UserGroup,PQM Upgrade Supplier Access - Modify SCAR $UserGroup,,PQM Upgrade Supplier Access - Modify SCAR,Role PQM SUPERUSER
,,,,PQM Upgrade Supplier Access Read/Discover SCAR $UserGroup,PQM Upgrade Supplier Access Read/Discover SCAR $UserGroup,,(Role WORK QCR SCAR) Modify as Super User,
,,,,,,,PQM Upgrade Supplier Access - Read SCAR,
,,,,,,,(Role WORK SCAR) CS SCAR Pending - Closed,
,,,,,,,Role WORK QCR SCAR) Read,
,,,,,,,PQM Upgrade Supplier Access - Modify SCAR I have Created,
,,,,,,,(Role WORK SCAR) Modify as Originator SCAR,
,,,,,,,(Role WORK SCAR) Modify SCAR,
,,,,,,,Role WORK QCR SCAR) Create,
,,,,,,,PQM Supplier Access Create QCR SCAR,
Schedule Generated,Historical Report File Folders,500013,0,,,,,
"Schematic,M/B",Parts,1182,0,"(Role VIEWER G) GetFile Schematic,M/B","(Role VIEWER G) GetFile Schematic,M/B",,"(Role VIEWER K 3D1) GetFile Schematic,M/B",Type O Role
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B non CL","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B non CL",,"Checkin-Schematic,M/B",Role VIEWER E
,,,,"For Schematic,M/B Only - Exclude SBOM","For Schematic,M/B Only - Exclude SBOM",,"(Role MOD PARTS P3 CMA'S) Mod P3 Schematic,M/B","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER F) GetFile Schematic,M/B","(Role VIEWER F) GetFile Schematic,M/B",,"(Role READ/DISCOVER P3) Read P3 Schematic,M/B",Create All Items (Subclass Level)
,,,,"(Role VIEWER J 3B) GetFile Schematic,M/B","(Role VIEWER J 3B) GetFile Schematic,M/B",,"(Role READ/DISCOVER P3) Read P3 Schematic,M/B non CL",Role DELL LEGAL
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B CL","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B CL",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B CL",Role VIEWER I
,,,,"All Parts-Schematic,M/B (Subclass Access)","All Parts-Schematic,M/B (Subclass Access)",,"Upgrade Supplier Access - Modify Schematic,M_B",Role DOCUMENT SUBMITTER
,,,,"For Schematic,M/B Only","For Schematic,M/B Only",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,M/B non CL",Openmanage Viewer
,,,,"(Role VIEWER E) GetFile Schematic,M/B","(Role VIEWER E) GetFile Schematic,M/B",,"(Role VIEWER C) GetFile Schematic,M/B",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER H) GetFile Schematic,M/B","(Role VIEWER H) GetFile Schematic,M/B",,"Modify Attachments-Schematic,M/B",Role Check In Check Out
,,,,"(Role VIEWER C) GetFile Schematic,M/B","(Role VIEWER C) GetFile Schematic,M/B",,"(Role VIEWER E) GetFile Schematic,M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER K 3D1) GetFile Schematic,M/B","(Role VIEWER K 3D1) GetFile Schematic,M/B",,"(Role VIEWER G) GetFile Schematic,M/B",Role VIEWER F
,,,,"(Role VIEWER I) GetFile Schematic,M/B","(Role VIEWER I) GetFile Schematic,M/B",,"(Role VIEWER J 3B) GetFile Schematic,M/B",Role CREATOR
,,,,"(Role VIEWER B) GetFile Schematic,M/B","(Role VIEWER B) GetFile Schematic,M/B",,"Checkout-Schematic,M/B",Role READ/DISCOVER P3
,,,,"(Role VIEWER D) GetFile Schematic,M/B","(Role VIEWER D) GetFile Schematic,M/B",,"(Role VIEWER H) GetFile Schematic,M/B",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role READ/DISCOVER P3) Discover P3 Schematic,M/B",Role VIEWER J 3B
,,,,,,,"Create-Schematic,M/B",Role VIEWER H
,,,,,,,"(Role VIEWER B) GetFile Schematic,M/B",Role VIEWER C
,,,,,,,"(Role READ/DISCOVER P3) Discover P3 Schematic,M/B non CL",Role PGDS ANALYST
,,,,,,,"(Role VIEWER D) GetFile Schematic,M/B",Role VIEWER A
,,,,,,,"(Role VIEWER F) GetFile Schematic,M/B",Role VIEWER G
,,,,,,,"(Role VIEWER I) GetFile Schematic,M/B",Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Schematic,Other non M/B",Parts,2615,3,"(Role VIEWER D) GetFile Schematic,Other non M","(Role VIEWER D) GetFile Schematic,Other non M",,"(Role MOD PARTS P3 CMA'S) Mod P3 Schematic,Other non M/",Type O Role
,,,,"For Schematic,Other non M/B Only - Exclude SBOM","For Schematic,Other non M/B Only - Exclude SBOM",,"Checkin-Schematic,Other non M/B",Role VIEWER E
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,Other non M/","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,Other non M/",,"(Role READ/DISCOVER P3) Read P3 Schematic,Other non M/","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER K 3D1) GetFile Schematic,Other non M","(Role VIEWER K 3D1) GetFile Schematic,Other non M",,"Modify Attachments-Schematic,Other non M/B",Create All Items (Subclass Level)
,,,,"For Schematic,Other non M/B Only","For Schematic,Other non M/B Only",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Schematic,Other non M/",Role DELL LEGAL
,,,,"(Role VIEWER C) GetFile Schematic,Other non M","(Role VIEWER C) GetFile Schematic,Other non M",,"(Role VIEWER I) GetFile Schematic,Other non M",Role VIEWER I
,,,,"(Role VIEWER F) GetFile Schematic,Other non M","(Role VIEWER F) GetFile Schematic,Other non M",,"(Role VIEWER K 3D1) GetFile Schematic,Other non M",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER I) GetFile Schematic,Other non M","(Role VIEWER I) GetFile Schematic,Other non M",,"(Role VIEWER D) GetFile Schematic,Other non M",Openmanage Viewer
,,,,"(Role VIEWER G) GetFile Schematic,Other non M","(Role VIEWER G) GetFile Schematic,Other non M",,"Upgrade Supplier Access - Modify Schematic,Other non M_B",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER H) GetFile Schematic,Other non M","(Role VIEWER H) GetFile Schematic,Other non M",,"(Role VIEWER F) GetFile Schematic,Other non M",Role Check In Check Out
,,,,"(Role VIEWER J 3B) GetFile Schematic,Other non M","(Role VIEWER J 3B) GetFile Schematic,Other non M",,"Checkout-Schematic,Other non M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"All Parts-Schematic,Other non M/B (Subclass Access)","All Parts-Schematic,Other non M/B (Subclass Access)",,"(Role VIEWER C) GetFile Schematic,Other non M",Role VIEWER F
,,,,"(Role VIEWER B) GetFile Schematic,Other non M","(Role VIEWER B) GetFile Schematic,Other non M",,"Create-Schematic,Other non M/B",Role CREATOR
,,,,"(Role VIEWER E) GetFile Schematic,Other non M","(Role VIEWER E) GetFile Schematic,Other non M",,"(Role VIEWER B) GetFile Schematic,Other non M",Role READ/DISCOVER P3
,,,,,,,"(Role VIEWER E) GetFile Schematic,Other non M",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER J 3B) GetFile Schematic,Other non M",Role VIEWER J 3B
,,,,,,,"(Role VIEWER G) GetFile Schematic,Other non M",Role VIEWER H
,,,,,,,"(Role VIEWER H) GetFile Schematic,Other non M",Role VIEWER C
,,,,,,,"(Role READ/DISCOVER P3) Discover P3 Schematic,Other non M/",Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"Secure Onboarding,INFO",Parts,2,0,"All Parts-Secure Onboarding,INFO (Subclass Access)","All Parts-Secure Onboarding,INFO (Subclass Access)",,"(Role MOD PARTS P3 CMA'S) Mod P3 Secure Onboarding,INFO",Role READ/DISCOVER P3
,,,,"For Secure Onboarding,INFO","For Secure Onboarding,INFO",,"Create-Secure Onboarding,INFO",Role VIEWER J 3B
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Secure Onboarding,INFO",Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,,,,,Role VIEWER E
,,,,,,,,Create All Items (Subclass Level)
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER I
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
,,,,,,,,Role CREATOR
,,,,,,,,Role VIEWER F
Secure SWB,Parts,153,0,Modify Secure Software Bundle $User in Preliminary & Development,Modify Secure Software Bundle $User in Preliminary & Development,,Modify Secure Software Bundle In Preliminary & Development,Role Secure Software Bundle Internal Read Only
,,,,Secure Software Bundle $User,Secure Software Bundle $User,,Modify Secure Software Bundle SuperUser,Role VIEWER J 3B
,,,,For Secure Software Bundle,For Secure Software Bundle,,Checkout Secure Software Bundle,AEOP PROCESSOR
,,,,For Non-Restricted SSWB,For Non-Restricted SSWB,,Create Secure Software Bundle,Role VIEWER H
,,,,Secure Software Bundle $User Internal,Secure Software Bundle $User Internal,,Modify Secure Software Bundle All Rev,Role VIEWER C
,,,,,,,Read Secure Software Bundle $User,Role Secure SWB SUPERUSER
,,,,,,,Read Non-Restricted SSWB,Role VIEWER E
,,,,,,,Discover Non-Restricted SSWB,Role PGDS ANALYST
,,,,,,,Read Secure Software Bundle SuperUser,Role VIEWER A
,,,,,,,Read Secure Software Bundle $User Internal,Role VIEWER G
,,,,,,,Discover Secure Software Bundle Internal,Role SU VALIDATOR
,,,,,,,Discover Secure Software Bundle SuperUser,Role VIEWER I
,,,,,,,Read Secure Software Bundle $User_NOT USED PER PTASK0016486_1,Role GROOVY SCRIPT
,,,,,,,x-do not use2 - Modify Secure Software Bundle SuperUser,Software Bundle File Update
,,,,,,,x do not use - Modify Secure Software Bundle SuperUser,Role VIEWER B
,,,,,,,SaveAs Secure SWB,Role VIEWER K 3D1
,,,,,,,AEOP_MODIFY_SECURE_SOFTWARE_BUNDLE,Role Secure Software Bundle Internal Modify
,,,,,,,x-do not use - Modify Secure Software Bundle SuperUser,Role VIEWER D
,,,,,,,Get File Secure Software Bundle,Role Secure Software Bundle $User (External)
,,,,,,,x do not use2 - Modify Secure Software Bundle SuperUser,Role VIEWER F
,,,,,,,Read Secure Software Bundle External_NOT USED PER PTASK0016486_2,
,,,,,,,Read Secure Software Bundle External,
,,,,,,,Checkin Secure Software Bundle,
,,,,,,,Read Secure Software Bundle $User_NOT USED PER PTASK0016486_2,
,,,,,,,Discover Secure Software Bundle,
,,,,,,,Read Secure Software Bundle External_NOT USED PER PTASK0016486_1,
Series Declaration,Substance Declarations,147,1,For Series Declaration (Home Organization Only),For Series Declaration (Home Organization Only),Declaration Workflow,(ea) Dell - Discover Series Declaration,Role VIEWER J 3B
,,,,For Series Declarations,For Series Declarations,,(reg) Dell - Discover Series Declarations,Role PGC PX
,,,,,,,(ea) Dell - Read Series Declaration,Role VIEWER H
,,,,,,,(ex) Dell - Modify Series Declaration,Role pgc_service_account
,,,,,,,(px) Dell - Modify Series Declaration,Role VIEWER C
,,,,,,,(ce) Dell - CS Open To Supplier,Role Supplier Users
,,,,,,,(ex) Dell - Read Series Declaration,Role component_engineer
,,,,,,,(ea) Dell - Modify Series Declaration,Role VIEWER E
,,,,,,,(ces) Dell - Create Series Declaration,Role EA Superusers
,,,,,,,(dm) Dell - Discover Series Declaration,Role EXERTIS (PGC ONLY)
,,,,,,,(pjm) Dell - Read Series Declaration,Role VIEWER A
,,,,,,,(px) Dell - Read Series Declaration,Role VIEWER G
,,,,,,,(pgc) Dell - Discover Series Declaration,Role pgc_data_migration
,,,,,,,(pgc) Dell - Modify Series Declaration,Role COMPONENT ENGINEERING SERIES ONLY
,,,,,,,(SU) Dell - Discover Series Declaration,Role VIEWER I
,,,,,,,(dm) Dell - Read Series Declaration,Role VIEWER B
,,,,,,,(grvy) Dell - Read Series Declarations,Role VIEWER K 3D1
,,,,,,,(ce) Dell - Read Series Declaration,Role Groovy Script (PGC Only)
,,,,,,,(ces) Dell - Read Series Declaration,Role REGULATORY
,,,,,,,(SU) Dell - Modify Series Declaration Signoff Statement,Role PG PROJ PLNR
,,,,,,,(grvy) Dell - Discover Series Declaration,Role VIEWER D
,,,,,,,(pgc) Dell - Read Series Declaration,Role VIEWER F
,,,,,,,(ce) Dell - Discover Series Declaration,
,,,,,,,(ce) Dell - Modify Series Declaration,
,,,,,,,(pgc) Dell - Read Status On Series Declaration,
,,,,,,,(SU) Dell - Read Series Declaration,
,,,,,,,(ex) Dell - Discover Series Declaration,
,,,,,,,(ea) Dell - Create Series Declaration,
,,,,,,,(dm) Dell - Modify Series Declaration,
,,,,,,,(SU) Dell - Read Series Declaration Signoff Statement,
,,,,,,,(px) Dell - Discover Series Declaration,
,,,,,,,(reg) Dell - Read Series Declarations,
Service Image,Parts,867,0,(Role VIEWER I) Service Image,(Role VIEWER I) Service Image,,(Role VIEWER I) GetFile Service Image,Type O Role
,,,,For Service Image Only - Exclude SBOM,For Service Image Only - Exclude SBOM,,Create-Service Image,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Service Image,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Service Image,,Checkin-Service Image,Role VIEWER E
,,,,All Parts-Service Image (Subclass Access),All Parts-Service Image (Subclass Access),,(Role READ/DISCOVER P3) Read P3 Service Image,Create All Items (Subclass Level)
,,,,For Service Image Only,For Service Image Only,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Service Image,Role DELL LEGAL
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Service Image,Role VIEWER I
,,,,,,,Modify Attachments-Service Image,Role DOCUMENT SUBMITTER
,,,,,,,Checkout-Service Image,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,(Role MODIFY S/W P3) Mod Software Service Image,Role Check In Check Out
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Service Image,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,Upgrade Supplier Access - Modify Service Image,Role CREATOR
,,,,,,,,Role VIEWER F
,,,,,,,,Role READ/DISCOVER P3
,,,,,,,,Role MOD PARTS P3 PROJ PLNR
,,,,,,,,Role VIEWER J 3B
,,,,,,,,Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role MODIFY S/W P3
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Service Install,Parts,70391,1,For Service Install Only - Exclude SBOM,For Service Install Only - Exclude SBOM,,(Role VIEWER C) GetFile Service Install,Type O Role
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Service Install,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Service Install,,(Role SUPERUSER) Modify Service Install TA Flex Fields,Role Modify Service Install Relationships Marketing Name
